id	name	avg_rating	n_reviews	n_sold	price	n_loved	n_rate_5	rate_4	rate_3	rate_2	rate_1	rate_with_cmt	rate_with_imgvid	shop_name	shop_n_review	shop_n_product	shop_rate_feedback	shop_time_feedback	shop_age	shop_follower
9848	Bộ Cáp chuyển đổi tín hiệu từ VGA sang HDMI có âm thanh kèm theo cáp Micro USB	4.672414	290	877.0	79000.0	5287	102	8	6	3	6	50	26	3hcomputer	30801	721	82	11117	133885605.25011897	49563
9849	[Loại 1] Túi Chống Sốc đựng Laptop 12"/ 14 "/ 15.6 " Lưới/ Shyides Lót Lông cao cấp	4.766739	463	1500.0	23000.0	3606	354	21	14	5	8	181	141	anhhana94	13290	516	90	7348	100675823.53212976	29571
9850	VĨ 5 VIÊN PIN CMOS CR2032	4.79386	228	1500.0	9000.0	56	99	1	1	1	4	34	23	mdvh.shop	29508	2012	94	6293	144484510.57613015	19235
9851	Lót Phủ Bàn Phím Cho Macbook (US)	4.842697	445	1200.0	59000.0	2556	343	31	12	1	2	166	133	macvietstore1	12797	207	88	5739	93108888.51911902	13139
9852	Pin CMOS Maxell CR2032 Lithium 3V ( 1 vỉ 5 viên)	4.950413	121	907.0	3800.0	32	88	1	1	0	0	30	25	shopgiare1234	13557	741	89	4682	98820406.56211782	2551
9853	Quạt Tản Nhiệt Mini 4x4x1cm 12VDC 0.08A	4.838863	211	918.0	14000.0	129	101	3	0	2	1	14	7	linhkiendientu3m	70743	2690	98	10625	108828524.73511863	28747
9854	Đế tản nhiệt LAPTOP N99-ĐẾ NÂNG 17 IN .	4.598143	754	2000.0	110000.0	5464	294	44	18	4	15	153	95	3hcomputer	30801	721	82	11117	133885611.45913029	49563
9855	Giá đỡ laptop Baseus nhôm tản nhiệt Macbook Papery Notebook Holder siêu mỏng dạng kickflip cho laptop Baseus SUZC-0S	4.936893	206	678.0	119000.0	648	196	9	0	0	1	72	42	vu.store.service	11522	215	90	8967	56926572.540118456	10820
9856	Ram laptop DDR2 2gb bus 667 800 bảo hành 6 tháng hàng tháo máy ( hàng bóc máy ) như mới	4.933962	212	685.0	80000.0	89	99	5	1	0	0	53	27	lethicamtien107	4584	92	100	4816	100705323.47713041	2335
9857	[GIÁ SIÊU RẺ] Keo tản nhiệt lọ cực tốt cho cpu(XÁM)	4.93662	142	1200.0	3200.0	5467	85	3	0	0	0	17	13	vuaphukien2207	9272	442	83	7531	92737803.43311763	17680
9858	Ram Laptop DDR3L (PC3L) 8GB, 4GB Bus 1600 (Sam/Hynix/Kingston Bảo hành 36 Tháng)	4.937063	286	631.0	275000.0	109	151	3	1	0	0	72	46	duykhanh08042004	3886	70	89	1703	100794490.67213035	1836
9859	Tản nhiệt ram ddr2 ddr3 ddr4	4.938272	162	759.0	25000.0	48	136	4	2	0	0	48	35	demaitinh2	269	86	86	506	60689512.01113629	96
