name	category	n_sold	price	shop_address	image_url	url
Điện thoại iPhone 8 Plus Quốc tế 64GB Mới 99% Bảo Hành 12 Tháng	DIENTHOAI	6500.0	5690000.0	Hà Nội	https://cf.shopee.vn/file/086f9f27c99412d2823c43dd71b3319b_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-iPhone-8-Plus-Qu%E1%BB%91c-t%E1%BA%BF-64GB-M%E1%BB%9Bi-99-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.260358378.5433245341
Điện thoại Samsung Galaxy A20s (32GB/3GB) - Hãng phân phối chính thức	DIENTHOAI	15400.0	3290000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/1af8e8ef899cc0987c650e4e10cbe4a0_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-A20s-(32GB-3GB)-H%C3%A3ng-ph%C3%A2n-ph%E1%BB%91i-ch%C3%ADnh-th%E1%BB%A9c-i.65589552.3111978493
Điện Thoại NOKIA 6300 6300i Main Zin Chính Hãng Đủ Màu - OHNO BH 24 Tháng Có Pin & Sạc	DIENTHOAI	5900.0	499000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/af2e8fbdc8d6ca1b641c742bd5a9951e_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-NOKIA-6300-6300i-Main-Zin-Ch%C3%ADnh-H%C3%A3ng-%C4%90%E1%BB%A7-M%C3%A0u-OHNO-BH-24-Th%C3%A1ng-C%C3%B3-Pin-S%E1%BA%A1c-i.145260315.6946226856
Điện Thoại Nokia 101,Nokia 100 Zin Chính Hãng Đủ Pin Sạc	DIENTHOAI	3300.0	135000.0	Hà Nội	https://cf.shopee.vn/file/3a7fe3513b59468fc5d386cc9700ab1b_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-101-Nokia-100-Zin-Ch%C3%ADnh-H%C3%A3ng-%C4%90%E1%BB%A7-Pin-S%E1%BA%A1c-i.1657913.1236186398
Điện thoại Vivo Y30i 4Gb + 64Gb - Hàng chính hãng	DIENTHOAI	2500.0	2850000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/71f0fe93ecf9903094e006ae8f81f25f_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Vivo-Y30i-4Gb-64Gb-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.69897724.3355289986
Điện thoại siêu nhỏ 2 sim lắp được thẻ nhớ	DIENTHOAI	2200.0	158000.0	Quảng Ninh	https://cf.shopee.vn/file/536b54e26ab7ef241be2395ec2eeb0aa_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-si%C3%AAu-nh%E1%BB%8F-2-sim-l%E1%BA%AFp-%C4%91%C6%B0%E1%BB%A3c-th%E1%BA%BB-nh%E1%BB%9B-i.50817933.1204021441
Điện Thoại Nokia 1280 Siêu Mới Đẹp. Dùng rất bền	DIENTHOAI	1900.0	185000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/81082365cf9e153a866866292256b0a1_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-1280-Si%C3%AAu-M%E1%BB%9Bi-%C4%90%E1%BA%B9p.-D%C3%B9ng-r%E1%BA%A5t-b%E1%BB%81n-i.39413762.7162303223
Điện thoại iPhone 7 Plus Quốc tế 128GB Mới 99% Bảo Hành 12 Tháng	DIENTHOAI	5700.0	5990000.0	Hà Nội	https://cf.shopee.vn/file/1946bd089dc0f94d637d529c3d6e8df9_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-iPhone-7-Plus-Qu%E1%BB%91c-t%E1%BA%BF-128GB-M%E1%BB%9Bi-99-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.260358378.4733245629
Điện Thoại Samsung Galaxy A01 Core (2GB/32GB) - Hàng Chính Hãng	DIENTHOAI	1400.0	1890000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/d1711b72032e78f36eb3665473427983_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-A01-Core-(2GB-32GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.4460537443
Điện thoại Mini-Nokia 3310 2 sim 2 sóng, Mini siêu nhỏ,Bh 12 tháng 1 đổi 1	DIENTHOAI	1800.0	169000.0	Nam Định	https://cf.shopee.vn/file/919b8e20b2f1625c401b786e520d11f7_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Mini-Nokia-3310-2-sim-2-s%C3%B3ng-Mini-si%C3%AAu-nh%E1%BB%8F-Bh-12-th%C3%A1ng-1-%C4%91%E1%BB%95i-1-i.86608834.2106797077
Điện Thoại Vsmart Active 3 6GB/64GB - Hàng Chính Hãng	DIENTHOAI	586.0	3129000.0	Bến Tre	https://cf.shopee.vn/file/d1ec2776b1cf182be50c03c20e4b4f4c_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Vsmart-Active-3-6GB-64GB-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.193124085.4717365643
