id	name	avg_rating	n_reviews	n_sold	price	n_loved	n_rate_5	rate_4	rate_3	rate_2	rate_1	rate_with_cmt	rate_with_imgvid	shop_name	shop_n_review	shop_n_product	shop_rate_feedback	shop_time_feedback	shop_age	shop_follower
45	Điện Thoại Xiaomi Redmi Note 8 64GB Ram 4GB - Hàng Nhập Khẩu	4.8	1200.0	3800.0	3450000.0	2800.0	561.0	29.0	15.0	5.0	12.0	288.0	168.0	kimnhungmobile	20100.0	485.0	71%	trong vài giờ	3 năm trước	24400.0
46	Điện Thoại Nokia 1202 Chính Hãng Bảo Hành 12 Tháng Chưa Sửa Chữa Nguyên Zin	4.7	623.0	1500.0	158000.0	260.0	224.0	19.0	6.0	3.0	4.0	120.0	68.0	kechaoda	16300.0	315.0	99%	trong vài giờ	32 tháng trước	12500.0
47	Điện Thoại Masstel Fami 12 Hàng Mới Nguyên Hộp - Bảo Hành Chính Hãng	4.9	153.0	1100.0	319000.0	54.0	88.0	2.0	0.0	1.0	0.0	44.0	33.0	tuanduongmobile	29900.0	565.0	87%	trong vài giờ	4 năm trước	14800.0
48	Điện Thoại Samsung Galaxy M31 (6GB/128GB) - Hàng Chính Hãng	4.9	207.0	419.0	4890000.0	386.0	191.0	9.0	3.0	0.0	3.0	117.0	86.0	samsung_official_store	20300.0	235.0	100%	trong vài giờ	33 tháng trước	80900.0
49	Điện thoại Nokia 1202 ( kèm pin sạc )	4.9	108.0	328.0	115000.0	26.0	100.0	5.0	1.0	0.0	2.0	55.0	32.0	shopduong2004	659.0	116.0	93%	trong vài giờ	9 tháng trước	198.0
50	Máy đọc sách Kindle Paperwhite used máy đẹp có đèn nền Vbookshop	5.0	295.0	640.0	950000.0	518.0	196.0	3.0	0.0	0.0	0.0	134.0	96.0	vbookshop	856.0	20.0	97%	trong vài phút	27 tháng trước	908.0
51	Máy đọc sách Kindle paperwhite gen 4 10th hàng used máy đẹp	4.9	189.0	360.0	2100000.0	207.0	115.0	6.0	0.0	0.0	0.0	80.0	69.0	vbookshop	856.0	20.0	97%	trong vài phút	27 tháng trước	908.0
52	Máy Đọc Sách Kindle Paperwhite Máy Đẹp Có Chứng Từ Nguồn Gốc Xuất Xứ Nhật Bản	4.9	205.0	420.0	1300000.0	328.0	196.0	5.0	3.0	0.0	1.0	127.0	93.0	momotaro.vn	634.0	482.0	94%	trong vài giờ	35 tháng trước	955.0
53	Kindle paperwhite gen 2, gen 3 ngoại hình xước xát	5.0	105.0	192.0	1050000.0	102.0	95.0	2.0	0.0	0.0	0.0	60.0	46.0	vbookshop	856.0	20.0	97%	trong vài phút	27 tháng trước	908.0
54	Điện Thoại Samsung Galaxy Note 4 (Dual sim) Fullbox Nhập khẩu	5.0	34.0	2000.0	1850000.0	3800.0	34.0	0.0	0.0	0.0	0.0	33.0	32.0	annhien_mobile	1400.0	499.0	89%	trong vài giờ	37 tháng trước	27100.0
55	Máy tính bảng Asus ZenPad Z10 2017 99% màn 2K chuyên Games	5.0	216.0	410.0	3290000.0	736.0	116.0	3.0	0.0	0.0	0.0	83.0	53.0	anhtutablets	1300.0	69.0	88%	trong vài giờ	4 năm trước	5200.0
56	Máy tính bảng Xiaomi Mipad 1 + cường lực, ốp lưng	4.9	267.0	431.0	1790000.0	892.0	70.0	2.0	0.0	0.0	0.0	52.0	26.0	anhtutablets	1300.0	69.0	88%	trong vài giờ	4 năm trước	5200.0
57	Máy Tính Bảng iPad 4 - 64/ 32/ 16Gb (Wifi + 4G)- Zin Đẹp 99% - Pin Khoẻ - Màn Rentina sắc nét	4.9	271.0	500.0	2390000.0	42700.0	193.0	7.0	0.0	1.0	1.0	106.0	60.0	beha1989	4600.0	222.0	97%	trong vài giờ	5 năm trước	76100.0
58	Bút cảm ứng màn hình chuyên dụng cho iPad/iPhone	4.9	18.0	76.0	3000.0	7.0	16.0	2.0	0.0	0.0	0.0	12.0	11.0	uloveremn1.vn	5400.0	4500.0	99%	trong vài giờ	4 tháng trước	3600.0
59	Máy Đọc Sách Kindle Paperwhite Cũ Máy Trầy Có Chứng Từ Xuất Xứ Nhật Mỹ	4.9	17.0	31.0	1250000.0	70.0	13.0	1.0	0.0	0.0	0.0	7.0	4.0	momotaro.vn	634.0	482.0	94%	trong vài giờ	35 tháng trước	955.0
60	iPad 4 (Wifi + 4G) 16GB/ 32GB /64G Chính Hãng- Zin Đẹp 99% - Màn Retina sắc nét - Pin siêu bền với 11.560mAh - MOBILE999	5.0	258.0	374.0	2268000.0	29500.0	239.0	5.0	0.0	0.0	0.0	143.0	93.0	mobile999.vn	1900.0	130.0	98%	trong vài giờ	4 năm trước	37700.0
61	Máy tính bảng Ipad 2 Quốc tế bản WIFI 16gb	4.8	297.0	596.0	1250000.0	8100.0	190.0	18.0	5.0	2.0	4.0	130.0	69.0	bongnam1416	5300.0	66.0	94%	trong vài giờ	4 năm trước	19400.0
62	⚡️ NEW 100% - SEAL ⚡️ Máy đọc sách Amazon Kindle Paperwhite 4 (thế hệ thứ 10 - 8/32GB) ⚡️ Kèm phụ kiện giá sốc ⚡️	5.0	60.0	144.0	2849000.0	1600.0	38.0	0.0	0.0	0.0	0.0	20.0	17.0	xaha123	485.0	128.0	96%	trong vài giờ	18 tháng trước	6700.0
63	[CHUYÊN GAME + ANTUTU 130K] Máy tính bảng Xiaomi MiPad 1 64GB Zin Likenew 99%	4.9	122.0	166.0	1788000.0	1900.0	40.0	1.0	1.0	0.0	0.0	23.0	9.0	thanhnamdjjd	654.0	126.0	95%	trong vài giờ	3 năm trước	6400.0
64	Máy tính Bảng Ipad 2. Nguyên zin Quốc Tế.rẻ mà dùng chất	4.9	164.0	320.0	1250000.0	367.0	147.0	6.0	2.0	0.0	1.0	90.0	53.0	vanleo89	753.0	27.0	92%	trong vài giờ	20 tháng trước	934.0
65	Máy tính bảng Samsung Galaxy Tab S6 Tặng kèm Bao bàn phím Hàng chính hãng	5.0	33.0	108.0	14490000.0	182.0	32.0	1.0	0.0	0.0	0.0	4.0	3.0	nguyenducchinh22	2600.0	71.0	96%	trong vài phút	34 tháng trước	1700.0
66	iPad Mini 5 Wi-Fi 64GB chính hãng Apple mới 100% nguyên seal	5.0	58.0	82.0	9190000.0	655.0	57.0	1.0	0.0	0.0	0.0	37.0	18.0	truonghung825	1200.0	126.0	90%	trong vài giờ	23 tháng trước	10600.0
67	Máy tính bảng Ipad 4 bản 4G/wifi, màn hình 9.7inch	4.7	37.0	1900.0	1249000.0	3700.0	32.0	1.0	2.0	1.0	1.0	33.0	27.0	baongocstore2016	4500.0	342.0	91%	trong vài giờ	4 năm trước	23700.0
